yr,subject,winner
1950,Physics,Cecil Powell
1962,Literature,John Steinbeck
1921,Physics,Albert Einstein
2001,Peace,United Nations
1984,Chemistry,Robert Bruce Merrifield
1984,Physics,Carlo Rubbia
1980,Physics,James Cronin
1980,Chemistry,Paul Berg
1905,Medicine,Robert Koch
2004,Literature,Elfriede Jelinek
2009,Peace,Barack Obama
1906,Peace,Theodore Roosevelt
1919,Peace,Thomas Woodrow Wilson
2002,Peace,Jimmy Carter
2007,Physics,Peter Grünberg
1936,Literature,Eugene O'Neill
1978,Peace,Sir John Example
1994,Economics,John Nash
