name,continent,area,population,gdp,capital
Germany,Europe,357022,83149300,3845630000000,Berlin
Sweden,Europe,450295,10353442,541000000000,Stockholm
Norway,Europe,385207,5421241,482000000000,Oslo
Denmark,Europe,43094,5831404,395000000000,Copenhagen
United Kingdom,Europe,243610,67215293,3135000000000,London
France,Europe,551695,67391582,2930000000000,Paris
Italy,Europe,301340,59554023,2060000000000,Rome
United States,North America,9833520,331893745,25400000000000,Washington
Mexico,North America,1964375,128932753,1410000000000,Mexico City
Brazil,South America,8515767,214326223,2140000000000,Brasilia
Argentina,South America,2780400,45376763,487000000000,Buenos Aires
China,Asia,9596961,1412600000,17960000000000,Beijing
India,Asia,3287263,1407563842,3340000000000,New Delhi
Australia,Oceania,7692024,26068792,1596000000000,Canberra
South Africa,Africa,1221037,60142978,405000000000,Pretoria
Egypt,Africa,1002450,109262178,387000000000,Cairo
Kuwait,Asia,17818,4321068,184000000000,Kuwait City
Singapore,Asia,733,5453566,397000000000,Singapore
Luxembourg,Europe,2586,634730,73000000000,Luxembourg
Mozambique,Africa,801590,32163045,15600000000,Maputo
